Company/Brand,Year1,Revenue1,Year2,Revenue2,Year3,Revenue3,Year4,Revenue4,Year5,Revenue5,HQ,Sector,Founders,Investor,Amount($),Stage,What it does,,,,,,,,,,,,,,,
Troo Good,2021,49000000,2022,35000000,2023,14000000,NA,NA,NA,NA,Hyderabad,E-commerce,Raju Bhupati,OAKS Asset Management,7000000,Series A,An FMCG company selling nutritious products at an affordable price points.,,,,,,,,,,,,,,,
Prodo,2021,2100000,2022,1500000,2023,600000,NA,NA,NA,NA,New Delhi,Supply Chain Management,"Sameen Husain, Abhiroop Srivastava","Titan Capital, LetsVenture",300000,Pre-seed,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.",,,,,,,,,,,,,,,
Unnati,2021,49000000,2022,35000000,2023,14000000,NA,NA,NA,NA,Noida,Fintech,"Amit Sinha, Ashok Prasad","Incofin, NabVentures, Orios",7000000,Series A,Fintech powered digital agri ecosystem,,,,,,,,,,,,,,,
Lysto,2021,21000000,2022,15000000,2023,6000000,NA,NA,NA,NA,Bangalore,Nutrition,Sadiq Ahamed,BEENEXT,3000000,Seed,"Lysto is building APIs, Tools & Infrastructure to enable the creation & distribution of NFTs across platforms with a few clicks or few lines of code.",,,,,,,,,,,,,,,
ElectricPe,2021,21000000,2022,15000000,2023,6000000,NA,NA,NA,NA,Bangalore,Electric Vehicle,"Avinash Sharma, Raghav Rohila","Blume Ventures, Micelio Fund",3000000,Seed,India's largest Electric Vehicle Charging Platform,,,,,,,,,,,,,,,
Vayana Network,2021,210000000,2022,150000000,2023,60000000,NA,NA,NA,NA,Pune,Financial Services,Ramaswamy Iyer,"CDC Group, Jungle Ventures, March Capital, Marshall Wace",30000000,Series C,"Vayana Network is an electronic network that connects Corporates and their Supply Chain to Financial Institutions for easy, quick and low-cost access to Trade Financing of their Payables and Receivables.",,,,,,,,,,,,,,,
Valuationary,2021,700000,2022,500000,2023,200000,NA,NA,NA,NA,Surat,E-Learning,"Pratik Bajaj, Kunal Shah, Mahip Gupta","Ashish Jain, Ajay Surana",100000,Pre-seed,EdTech platform upskilling candidates to bag deserving finance job roles.,,,,,,,,,,,,,,,
Knocksense,2021,1050000,2022,750000,2023,300000,NA,NA,NA,NA,Lucknow,Media,"Varul Mayank, Vibhore Mayank","We Founder Circle, Appyhigh, Mumbai Angels",150000,,Knocksense is a local news and recommendations platform.,,,,,,,,,,,,,,,
Petpooja,2021,31500000,2022,22500000,2023,9000000,NA,NA,NA,NA,Ahmedabad,Information Technology,"Apurv Patel, Parthiv Patel","Aroa Ventures, GVFL, Udaan",4500000,,"Petpooja is the largest next-generation PoS platform for the F&B sector with more than 25,000+ clients across India and UAE.",,,,,,,,,,,,,,,
Wingreens Farms,2021,119000000,2022,85000000,2023,34000000,NA,NA,NA,NA,Gurugram,Food & Beverages,"Anju C Srivastava, Arjun Srivastava","Investcorp, Omidyar Network",17000000,,"Wingreens Farms is a fully integrated (farm to retail) Food Company in the business of making and selling a range of fresh, healthy, tasty and innovative food products.",,,,,,,,,,,,,,,
DGV,2021,21000000,2022,15000000,2023,6000000,NA,NA,NA,NA,Bangalore,Information Technology,Ragavan Venkatesan,"Info Edge Ventures, Omnivore",3000000,Pre-series A,NeoBanking for Bharat,,,,,,,,,,,,,,,
GuardianLink,2021,84000000,2022,60000000,2023,24000000,NA,NA,NA,NA,Chennai,Information Technology,"Ramkumar Subramaniam, Kamesh Elangovan",Kalaari Capital,12000000,Series A,Building tech infrastructure to help NFT commerce go mainstream,,,,,,,,,,,,,,,
Clinikk,2021,28000000,2022,20000000,2023,8000000,NA,NA,NA,NA,Bangalore,Health Care,"Dr.Suraj Baliga, Bhavjot Kaur",MassMutual Ventures,4000000,Pre-series A,Transforming health insurance by building India's first managed care model,,,,,,,,,,,,,,,
Toplyne,2021,17500000,2022,12500000,2023,5000000,NA,NA,NA,NA,Bangalore,Computer software,"Rishen Kapoor and Ruchin Kulkarni, Rohit Khanna","Sequoia Capital , Together Fund",2500000,,Toplyne helps sales teams at product-led companies convert their freemium users!,,,,,,,,,,,,,,,
Mensa,2021,945000000,2022,675000000,2023,270000000,NA,NA,NA,NA,Bangalore,EdtTech,Ananth Narayanan,"Alpha Wave Ventures, Falcon Edge Capital",135000000,Series B,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",,,,,,,,,,,,,,,
Wonderchef,2021,140000000,2022,100000000,2023,40000000,NA,NA,NA,NA,Mumbai,Consumer Goods,Ravi Saxena,"Sixth Sense Ventures, Godrej Family office, Malpani Group",20000000,,"Wonderchef Cookware and Appliances is a perfect blend of health, taste, and convenience that inspires us to 'cook with pride'.",,,,,,,,,,,,,,,
GoKwik,2021,105000000,2022,75000000,2023,30000000,NA,NA,NA,NA,New Delhi,Information Technology,"Chirag, Vivek Bajpai, Ankush Talwar",Sequoia Capital India,15000000,Series A,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,,,,,,,,,,,,,,,
Velocity,2021,140000000,2022,100000000,2023,40000000,NA,NA,NA,NA,Bangalore,Financial Services,"Saurav Swaroop, Abhiroop Medhekar, Atul Khichariya",Valar Ventures,20000000,Series A,"Velocity provides revenue based financing, up to Rs 3 crores, for marketing and inventory spends of online businesses.",,,,,,,,,,,,,,,
SalaryBox,2021,28000000,2022,20000000,2023,8000000,NA,NA,NA,NA,Gurugram,Financial Services,"Nikhil Goel, Peeyush Goyal","Y-Combinator, AME Cloud Ventures, Gokul Rajaram",4000000,Seed,SalaryBox is solution that makes employee management effortless.,,,,,,,,,,,,,,,
Better Capital,2021,105000000,2022,75000000,2023,30000000,NA,NA,NA,NA,Santra,Venture capitalist,Vaibhav Domkundwar,,15000000,,"Better is a top-tier India-focused pre-seed venture firm with a portfolio of 100+ companies including stellar successes like Rupeek, Open, Khatabook, Bijak",,,,,,,,,,,,,,,
Tickertape,2021,35000000,2022,25000000,2023,10000000,NA,NA,NA,NA,Bangalore,Financial Services,Ujjwal Ankur,Smallcase,5000000,,"Tickertape provides data, information & content for Indian stocks, ETFs & indices",,,,,,,,,,,,,,,
Disprz,2021,91000000,2022,65000000,2023,26000000,NA,NA,NA,NA,Mumbai,E-Learning,"Subramanian Viswanathan, Kuljit Chadha","Dallas Venture Capital, Mars Growth Capital",13000000,Series B,An AI-powered right skilling suite that helps enterprises unlock business potential.,,,,,,,,,,,,,,,
Inzpira,2021,2100000,2022,1500000,2023,600000,NA,NA,NA,NA,Trivandrum,E-Learning,"Rohith Namboothiri, Sruthy Ramesh","Raj Nair, Gopinath Latpate",300000,Seed,"Inzpira is India's only Live online 1:1 platform for Language Learning & Test Preparation that lets users instantly connect with expert trainers and learn anytime, from anywhere.",,,,,,,,,,,,,,,
Defy,2021,38500000,2022,27500000,2023,11000000,NA,NA,NA,NA,Bangalore,Financial Services,"Bhagaban Behera, Sriharsha Setty, Nakul Kelkar","Y Combinator, Goat VC, JAM Fund, Goodwater Capital",5500000,,Building India's first social crypto exchange,,,,,,,,,,,,,,,
Mindhouse,2021,42000000,2022,30000000,2023,12000000,NA,NA,NA,NA,Gurugram,Health Care,"Pooja Khanna, Pankaj Chaddah","Binny Bansal, General Catalyst",6000000,Seed,Mindhouse is a Yoga & Nutrition driven personalized healthcare platform.,,,,,,,,,,,,,,,
Homversity,2021,1085000,2022,775000,2023,310000,NA,NA,NA,NA,Ahmedabad,Marketplace,Saurav Kumar Sinha,,155000,,Homversity is the digital ecosystem that aims to support the 93 BN USD student housing & Co-living industry in India.,,,,,,,,,,,,,,,
Toppersnotes,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Jaipur,Education,"Ayush Agarwal, Devendra Dhaka, Arpit Bansal",Inflection Point Ventures,1000000,Seed,"Toppersnotes is an edtech company, primarily operating in the test preparation industry.",,,,,,,,,,,,,,,
NoBroker.com,2021,14700000,2022,10500000,2023,4200000,NA,NA,NA,NA,Bangalore,Real Estate,"Akhil Gupta, Amit, Saurabh","General Atlantic, Tiger Global, Moore Strategic Ventures",2100000,Series E,NoBroker is a disruptive force in the Real Estate Industry.,,,,,,,,,,,,,,,
Haber,2021,140000000,2022,100000000,2023,40000000,NA,NA,NA,NA,Pune,Electric Vehicle,"Vipin Raghavan, Priya Venkat, Arjunan PN",Ascent Capital,20000000,Series B,"Real-time, automated insights to increase plant efficiency",,,,,,,,,,,,,,,
True Balance,2021,210000000,2022,150000000,2023,60000000,NA,NA,NA,NA,Gurugram,Financial Services,Cheolwon Lee,"Northern Arc, Arthmate, Shine Star, E clear, Hinduja",30000000,,"Balancehero India Private Limited (BHI), the wholly owned subsidiary of Balancehero Co. Ltd., Korea which runs and operates mobile App ?True Balance?.",,,,,,,,,,,,,,,
Recordent,2021,2800000,2022,2000000,2023,800000,NA,NA,NA,NA,Hyderabad,Financial Services,Winny Patro,"Family Office of Kantamaneni, IIM Calcutta Innovation Park",400000,,Helping MSMEs collect customer dues faster & reduce risk by checking credit & payment history before offering credit,,,,,,,,,,,,,,,
Koparo,2021,4900000,2022,3500000,2023,1400000,NA,NA,NA,NA,New Delhi,Consumer Goods,Simran Khara,"Saama Capital?, ?Titan Capital?, DSG Consumer Partners",700000,Seed,Koparo is a direct-to-consumer brand that is addressing the needs of modern Indian families and their homes.,,,,,,,,,,,,,,,
Indifi,2021,280000000,2022,200000000,2023,80000000,NA,NA,NA,NA,Gurugram,Financial Services,Alok Mittal,"Omidyar Network, Flourish Ventures, Elevar Equity, Accel",40000000,,Indifi believes in helping small businesses grow by offering loans to those that have potential and intent.,,,,,,,,,,,,,,,
Settl,2021,3500000,2022,2500000,2023,1000000,NA,NA,NA,NA,Bangalore,Real Estate,"Abhishek Tripathi, Bharath Bhaskar, Ashok Reddy","ah! Ventures, We Founder Circle",500000,Seed,Settl. is a technology-driven accommodation platform focused on providing a convenient and high-quality living experience for young millennials.,,,,,,,,,,,,,,,
Park+,2021,175000000,2022,125000000,2023,50000000,NA,NA,NA,NA,New Delhi,Technology,Amit Lakhotia,"Sequoia Capital, Matrix Partners",25000000,Series B,Building an eco-system for car owners which will be a one-stop solution for all their needs.,,,,,,,,,,,,,,,
Simple Energy,2021,147000000,2022,105000000,2023,42000000,NA,NA,NA,NA,Bangalore,Electric Vehicle,Suhas Rajkumar,,21000000,Pre-series,A Research and development driven company on a mission to build the future of mobility that is electric and connected.,,,,,,,,,,,,,,,
Spinny,2021,1736000000,2022,1240000000,2023,496000000,NA,NA,NA,NA,Gurugram,Electric Vehicle,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur","Abu Dhabi Growth Fund, Tiger Global",248000000,Series E,Spinny is a new age used car end-to-end platform in India.,,,,,,,,,,,,,,,
Rentomojo,2021,70000000,2022,50000000,2023,20000000,NA,NA,NA,NA,Bangalore,Rental,Geetansh Bamania,"Accel, Bain Capital",10000000,,"Furniture, appliances, electronics, and fitness products on monthly rental subscriptions.",,,,,,,,,,,,,,,
Slice,2021,1540000000,2022,1100000000,2023,440000000,NA,NA,NA,NA,Bangalore,Financial Services,"Rajan Bajaj, Siva Kumar Tangudu","Tiger Global, Insight Partners",220000000,Series B,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",,,,,,,,,,,,,,,
21K School,2021,35000000,2022,25000000,2023,10000000,NA,NA,NA,NA,Bangalore,E-Learning,"Santosh Kumar, Yeshwanth Raj Parasmal, Dinesh Kumar, Joshi Kumar",Ronnie Screwvala,5000000,Pre-series A,"21K School is India's First Online School that provides a complete online school experience and personalized learning ? anytime, anywhere.",,,,,,,,,,,,,,,
Adda247,2021,140000000,2022,100000000,2023,40000000,NA,NA,NA,NA,Gurugram,E-Learning,"Anil Nagar, Saurabh Bansal",WestBridge Capital,20000000,Series B,"The multilingual edtech platform provides 360 degree learning solutions catering to all major educational needs of Tier II, tier III including online courses for  competitive exams",,,,,,,,,,,,,,,
Loop Health,2021,84000000,2022,60000000,2023,24000000,NA,NA,NA,NA,Pune,Health Care,"Amrit Singh, Mayank Kale","Elevation, General Catalyst",12000000,,India's first health insurance with unlimited primary care for employees.,,,,,,,,,,,,,,,
Rupifi,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Bangalore,Financial Services,"Jawaid Iqbal, Dhruv Bhushan",Alteria Capital,1000000,Debt,Embedded Lending for Small Businesses,,,,,,,,,,,,,,,
RENEE Cosmetics,2021,10500000,2022,7500000,2023,3000000,NA,NA,NA,NA,Ahmedabad,Cosmetics,"Priyank Shah, Ashutosh Valani, Aashka Goradia Goble","Equanimity Ventures, 9Unicorns",1500000,Pre-series A,"RENE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.",,,,,,,,,,,,,,,
Svish,2021,2800000,2022,2000000,2023,800000,NA,NA,NA,NA,Gurugram,Consumer Goods,"Ishan, Jaideep Mahajan",Nueva,400000,Seed,D2C personal hygiene startup,,,,,,,,,,,,,,,
Progcap,2021,210000000,2022,150000000,2023,60000000,NA,NA,NA,NA,New Delhi,Fintech,"Pallavi Shrivastava, Himanshu Chandra",Tiger Global,30000000,Series C,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm",,,,,,,,,,,,,,,
Smartstaff,2021,30100000,2022,21500000,2023,8600000,NA,NA,NA,NA,Bangalore,Recruitment,"Arpit Dave, Viral Chhajer, Gnanesh Chilukuri, Aravind Reddy","Blume Ventures, Nexus Venture Partners",4300000,,Smartstaff (previously Qikwork) is a full stack blue-collar workforce management platform.,,,,,,,,,,,,,,,
ANS Commerce,2021,15400000,2022,11000000,2023,4400000,NA,NA,NA,NA,Gurugram,E-commerce,"Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts",2200000,Pre-series A,ANS Commerce is India?s #1 full-stack e-commerce enabler helping brands sell online.,,,,,,,,,,,,,,,
Mobileware Technologies,2021,32900000,2022,23500000,2023,9400000,NA,NA,NA,NA,Mumbai,Information Technology,"Amitabh Kanekar, Satyajit Kanekar",Kvanto Payment Services,4700000,,"A mobile applications development platform for technologies including Symbian, Blackberry, and early versions of iOS and Android.",,,,,,,,,,,,,,,
GramCover,2021,49000000,2022,35000000,2023,14000000,NA,NA,NA,NA,Noida,Insurtech,Dhyanesh Bhatt,"Siana Capital, Inflexor Ventures, Stride Ventures",7000000,Series A,GramCover is a tech-enabled insurance marketplace for rural India.,,,,,,,,,,,,,,,
BYJU'S,2021,2100000000,2022,1500000000,2023,600000000,NA,NA,NA,NA,Bangalore,EdtTech,"Byju Raveendran, Divya Gokulnath","Oxshott Capital Partners, XN Exponent, Edelweiss",300000000,,BYJU?S is India's largest ed-tech company and the creator of India?s most loved school learning app.,,,,,,,,,,,,,,,
Hyperface,2021,9100000,2022,6500000,2023,2600000,NA,NA,NA,NA,Bangalore,Information Technology,"Ramanathan RV, Aishwarya Jaishankar","Kunal Shah, Better Capital",1300000,,Empowering Brands and Fintechs to offer banking products contextually to their customers.,,,,,,,,,,,,,,,
Licious,2021,364000000,2022,260000000,2023,104000000,NA,NA,NA,NA,Bangalore,Food & Beverages,"Vivek Gupta, Abhay",,52000000,Series G,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.",,,,,,,,,,,,,,,
Chalo,2021,280000000,2022,200000000,2023,80000000,NA,NA,NA,NA,Mumbai,Mobility,"Vinayak Bhavnani, Mohit Dubey","Lightrock India, Filter Capital",40000000,Series C,India?s #1 bus transport technology company.,,,,,,,,,,,,,,,
Kaar Technologies,2021,28000000,2022,20000000,2023,8000000,NA,NA,NA,NA,Chennai,Information Technology,Maran Nagarajan,BlackSoil,4000000,,"Kaar Technologies is an SAP global consultancy firm that designs, delivers and deploys cutting-edge SAP solutions for businesses around the world.",,,,,,,,,,,,,,,
Sunstone Eduversity,2021,196000000,2022,140000000,2023,56000000,NA,NA,NA,NA,Gurugram,EdtTech,"Ashish Munjal, Piyush Nangru",WestBridge Capital,28000000,Series B,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,,,,,,,,,,,,,,,
Pazcare,2021,24500000,2022,17500000,2023,7000000,NA,NA,NA,NA,Bangalore,Insurtech,"Sanchit Malik, Manish Mishra","BEENEXT, 3one4 Capital",3500000,Seed,Paz Care is India's leading Employee Benefits & Health insurance platform,,,,,,,,,,,,,,,
kWh Bikes,2021,14000000,2022,10000000,2023,4000000,NA,NA,NA,NA,Bangalore,Electric Vehicle,"Siddharth Janghu, Kartik Gupta, Anupriya","Let?s Venture, Better Capital",2000000,Seed,Building India?s strongest and smartest electric 2 wheelers,,,,,,,,,,,,,,,
IBSFINtech,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Bangalore,Information Technology,"C M Grover, TM Manjunath",,1000000,Pre-series A,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.",,,,,,,,,,,,,,,
Twin Health,2021,980000000,2022,700000000,2023,280000000,NA,NA,NA,NA,Chennai,Health Care,Jahangir Mohammed,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",140000000,Series C,Twin Health invented the Whole Body Digital Twin? to help reverse and prevent chronic metabolic diseases.,,,,,,,,,,,,,,,
ProfitWheel,2021,21000000,2022,15000000,2023,6000000,NA,NA,NA,NA,Mumbai,Advertisement,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",3000000,Seed,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,,,,,,,,,,,,,,,
Chingari,2021,133000000,2022,95000000,2023,38000000,NA,NA,NA,NA,Bangalore,Entertainment,Sumit Ghosh,Solana,19000000,,"Chingari - Bharat Ka Super Entertainment App. A unique and fun short video app, can create interesting videos and share them with the world.",,,,,,,,,,,,,,,
Ishitva,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Ahmedabad,Computer software,Jitesh Dadlani,Inflection Point Ventures,1000000,Pre-series A,"Sort to create value? using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",,,,,,,,,,,,,,,
Ola Electric,2021,1400000000,2022,1000000000,2023,400000000,NA,NA,NA,NA,Bangalore,Electric Vehicle,Bhavish Aggarwal,"Falcon Edge, Softbank",200000000,,Sustainability for the future.,,,,,,,,,,,,,,,
F5,2021,4200000,2022,3000000,2023,1200000,NA,NA,NA,NA,New Delhi,Retail,"Raghav Arora, Lalit Aggarwal",Auxano Capital,600000,Pre-series A,One-Stop Solution for Daily Workplace Needs,,,,,,,,,,,,,,,
ForeignAdmits,2021,2800000,2022,2000000,2023,800000,NA,NA,NA,NA,Bangalore,Education,"Nikhil Jain, Ashwini Jain",Unicorn India Ventures,400000,Seed,?foreignadmits? aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,,,,,,,,,,,,,,,
SALT,2021,3500000,2022,2500000,2023,1000000,NA,NA,NA,NA,Bangalore,Financial Services,"Ankit Parasher, Udita Pal","Prashant Pansare, Supermorpheus",500000,Pre-seed,Salt is a neo-banking experience created to cater to international businesses.,,,,,,,,,,,,,,,
EarnWealth,2021,3500000,2022,2500000,2023,1000000,NA,NA,NA,NA,Pune,Financial Services,Rajesh P Nair,,500000,Pre-series A,"EarnWealth is India's First Social Commerce FinTech which enables Financial Consultants, Mutual Fund Distributors, Insurance Agents, Real Estate Consultants, Housewives, Retired People and Students to earn quick money by selling Loans, Credit Cards",,,,,,,,,,,,,,,
Visit Health,2021,52500000,2022,37500000,2023,15000000,NA,NA,NA,NA,New Delhi,Health Care,"Shashvat Tripathi, Anurag Prasad, Vaibhav Singh, Chetan Anand",Docprime Technologies,7500000,,"Visit is a 360¿ integrated, highly engaging Health Benefits Platform- covering end to end health & wellness management.",,,,,,,,,,,,,,,
Crater.Club,2021,4900000,2022,3500000,2023,1400000,NA,NA,NA,NA,Bangalore,Media,"Vignesh Prasad, Vivan Puri",LC Nueva AIF,700000,Seed,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.",,,,,,,,,,,,,,,
NFTically,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Gurugram,Nutrition,Toshendra Sharma,"Nitish Mittersain, Gaurav Munjal",1000000,Seed,"NFTically is a global B2B SaaS that enables celebrities, influencers, gamers, clubs & enterprises to launch their own white-label NFT store or NFT Marketplace without any technical knowledge.",,,,,,,,,,,,,,,
ReshaMandi,2021,210000000,2022,150000000,2023,60000000,NA,NA,NA,NA,Bangalore,B2B,Utkarsh Apoorva,"9Unicorns, Venture Catalysts, Sandeep Singhal",30000000,Series A,"ReshaMandi provides a full-stack digital ecosystem in the form of a super app, from FARM to RETAIL.",,,,,,,,,,,,,,,
M2P Fintech,2021,245000000,2022,175000000,2023,70000000,NA,NA,NA,NA,Chennai,Financial Services,Madhusudanan R,Tiger Global,35000000,Series C,"M2P fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of Mobility, Commerce and payments.",,,,,,,,,,,,,,,
Open Financial Technologies,2021,630000000,2022,450000000,2023,180000000,NA,NA,NA,NA,Bangalore,Financial Services,Anish Achuthan,"Temasek, Google, SBI Investment",90000000,Series C,Open is Asia?s first neobanking platform for SMEs and startups.,,,,,,,,,,,,,,,
Niro,2021,24500000,2022,17500000,2023,7000000,NA,NA,NA,NA,Bangalore,Financial Services,"Aditya Kumar, Sankalp Mathur",Elevar Equity,3500000,Seed,Embedding personal credit products into leading consumer internet platforms.,,,,,,,,,,,,,,,
Wiingy,2021,2800000,2022,2000000,2023,800000,NA,NA,NA,NA,Bangalore,E-Learning,Asit Biswal,Aroa Ventures,400000,,The ultimate 1:1 live e-learning platform providing personalized hands-on learning for kids,,,,,,,,,,,,,,,
CarDekho,2021,1750000000,2022,1250000000,2023,500000000,NA,NA,NA,NA,Jaipur,Electric Vehicle,"Amit Jain, Anurag Jain",,250000000,Series E,Redefining the country?s personal mobility ecosystem with technologically enhanced solutions.,,,,,,,,,,,,,,,
Melorra,2021,168000000,2022,120000000,2023,48000000,NA,NA,NA,NA,Bangalore,EdtTech,Saroja Yeramili,"9Unicorns, Symphony International Holdings Limited, Value Quest",24000000,,A company that styles jewellery for the contemporary wardrobe.,,,,,,,,,,,,,,,
Toch.ai,2021,77000000,2022,55000000,2023,22000000,NA,NA,NA,NA,Mumbai,SaaS,"Vinayak Shrivastav, Saket Dandotia, Alok Patil",,11000000,Series A,"Toch is an AI-driven platform that helps broadcasters, OTT platforms, media platforms, and creators to revolutionize videos.",,,,,,,,,,,,,,,
Playto Labs,2021,3500000,2022,2500000,2023,1000000,NA,NA,NA,NA,Bangalore,E-Learning,Pavan Ponnaganti,Inflection Point Ventures,500000,Seed,Playto Labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. Book a free trial for your child today at www.playtolabs.com,,,,,,,,,,,,,,,
Fraazo,2021,350000000,2022,250000000,2023,100000000,NA,NA,NA,NA,Mumbai,Food & Beverages,"Atul Kumar, Aashish Krishnatre",WestBridge Capital,50000000,Series B,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,,,,,,,,,,,,,,,
Arcana,2021,16100000,2022,11500000,2023,4600000,NA,NA,NA,NA,Bangalore,Information Technology,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary","Republic Crypto, Woodstock, DCG, Sahil Lavingia",2300000,,Arcana offers a Privacy Stack SDK to DApp developers on EVM compatible blockchains chains to build Privacy-First products.,,,,,,,,,,,,,,,
FloCareer,2021,39900000,2022,28500000,2023,11400000,NA,NA,NA,NA,Bangalore,Information Technology,"Mohit Jain,  Mehul Bhatt",Data Point Capital,5700000,Series A,"The Best Skills Validation Platform that provides ""Interview As-A-Service""?.",,,,,,,,,,,,,,,
ApplicateAI,2021,210000000,2022,150000000,2023,60000000,NA,NA,NA,NA,Gurugram,Information Technology,"Madhusudan Atmakuri, Ranjeet Kumar",,30000000,Series A,"?ApplicateAI? is an integrated AI BOT platform for Enterprise with defined and curated work-flows for Sales, Consumer Engagement and Employee support and engagement.",,,,,,,,,,,,,,,
VLCC Health Care,2021,28000000,2022,20000000,2023,8000000,NA,NA,NA,NA,Gurugram,Health Care,Vandana Luthra,,4000000,,VLCC is today widely recognized for its comprehensive portfolio of beauty and wellness products and services,,,,,,,,,,,,,,,
Aviom India,2021,56000000,2022,40000000,2023,16000000,NA,NA,NA,NA,Bhilwara,Financial Services,Kajal Ilmi,Sabre Partners,8000000,Series C,AVIOM India Housing Finance Pvt. Ltd. is a venture started by experienced professionals with a vision to improve the standard of living of families from the informal sector in rural areas,,,,,,,,,,,,,,,
Onato,2021,15400000,2022,11000000,2023,4400000,NA,NA,NA,NA,Bangalore,Computer software,"Vedant Katiyar, Ashish Jindal","Vertex Ventures, Omnivore",2200000,,A startup solving inefficiencies in the agri supply chain,,,,,,,,,,,,,,,
Mestastop Solutions,2021,700000,2022,500000,2023,200000,NA,NA,NA,NA,Bangalore,Biotechnology,Dr Arnab Roy Chowdhury,CIIE.CO,100000,,"Mestastop aims to provide a solution for such challenges with their unique proprietary platforms, METAssay, METSCAN, and METVivo.",,,,,,,,,,,,,,,
SaaS Labs,2021,119000000,2022,85000000,2023,34000000,NA,NA,NA,NA,Noida,SaaS,Gaurav Sharma,"Base 10 Partners, Eight Roads Ventures",17000000,Series A,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.",,,,,,,,,,,,,,,
Devnagri,2021,4200000,2022,3000000,2023,1200000,NA,NA,NA,NA,Noida,Transportation,"Nakul Kundra, Himanshu Sharma","enture Catalyst, IPV",600000,Seed,"Devnagri is an AI powered human translation platform, working in all 22 Indian languages.",,,,,,,,,,,,,,,
CRED,2021,1750000000,2022,1250000000,2023,500000000,NA,NA,NA,NA,Bangalore,Financial Services,Kunal Shah,"Tiger Global, Falcon Edge",250000000,Series E,CRED is a credit card payment platform that rewards users with points for paying their bills.,,,,,,,,,,,,,,,
ConveGenius,2021,35000000,2022,25000000,2023,10000000,NA,NA,NA,NA,Noida,Education,"Jairaj Bhattacharya, Shashank Pandey","BAce Capital, Heritas Capital, 3Lines Venture Capital",5000000,Pre-seed,An EdTech social enterprise focused on closing the gap in educational achievement for children and youth in India.,,,,,,,,,,,,,,,
Totality,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Gurugram,Entertainment,Anshul Rustaggi,"Leo Capital, Mayfield Fund",1000000,,"Totality with the goal of combining scalability through technology, innovation through design & retention through content.",,,,,,,,,,,,,,,
CredAble,2021,210000000,2022,150000000,2023,60000000,NA,NA,NA,NA,Mumbai,Financial Services,Nirav Choksi,"Plutus Wealth, Oaks Asset Management",30000000,Series B,CredAble provides liquidity programs for enterprise supply chains.,,,,,,,,,,,,,,,
MarketWolf,2021,38500000,2022,27500000,2023,11000000,NA,NA,NA,NA,Mumbai,Financial Services,"Vishesh Dhingra, Thomas Joseph","Anil Thadani, Ashutosh Sinha, Roy van Leeuwen",5500000,Seed,"MarketWolf provides everyone an opportunity to begin their trading journey with a unique digital platform that is bold, simple and fun.",,,,,,,,,,,,,,,
Wondrlab,2021,49000000,2022,35000000,2023,14000000,NA,NA,NA,NA,Mumbai,Advertisement,Saurabh Varma,"Pi Ventures LLP, Tanas Capital, Prodapt Holdings",7000000,Pre-series A,India's largest platform-first martech startup,,,,,,,,,,,,,,,
SUN Mobility,2021,350000000,2022,250000000,2023,100000000,NA,NA,NA,NA,Bangalore,Electric Vehicle,Chetan Maini,Vitol,50000000,,Provider of universal energy infrastructure and services to accelerate mass EV usage!,,,,,,,,,,,,,,,
